Stimulus(s),S21(Real),S21(Imag)
1.72034406881E-08,+2.66226721301E-07,-1.41248801071E-07
1.74034806961E-08,+3.22112434338E-08,-1.85908995488E-07
1.76035207041E-08,-8.91793203280E-08,+6.55901585289E-10
1.78035607121E-08,+4.83508113519E-08,+1.81465399153E-07
1.80036007201E-08,+2.94109421729E-07,+1.18149969600E-07
1.82036407281E-08,+3.65107478924E-07,-1.61847826671E-07
1.84036807361E-08,+1.53059990146E-07,-3.97027525129E-07
1.86037207441E-08,-1.72948221463E-07,-3.70634601501E-07
1.88037607522E-08,-3.57551409245E-07,-1.13368714737E-07
1.90038007602E-08,-3.01236491595E-07,+1.68820656267E-07
1.92038407682E-08,-9.87527594355E-08,+3.10993961802E-07
1.94038807762E-08,+1.06593172017E-07,+2.95966835322E-07
1.96039207842E-08,+2.43203556047E-07,+1.87257888880E-07
1.98039607922E-08,+2.97198340755E-07,+3.59893422585E-08
2.00040008002E-08,+2.56376439739E-07,-1.19025012454E-07
2.02040408082E-08,+1.24411096930E-07,-2.13884597963E-07
2.04040808162E-08,-3.19349386731E-08,-1.90573352054E-07
2.06041208242E-08,-1.11346350004E-07,-7.15948352333E-08
2.08041608322E-08,-7.63856888594E-08,+4.11650684605E-08
2.10042008402E-08,+6.03044233161E-09,+6.83964571979E-08
2.12042408482E-08,+4.67992221787E-08,+3.22697643691E-08
2.14042808562E-08,+3.64355254067E-08,+8.23998087709E-09
2.16043208642E-08,+3.22890644552E-08,+1.74303455397E-08
2.18043608722E-08,+5.54397862224E-08,+1.02210957395E-08
2.20044008802E-08,+5.05650827218E-08,-3.76531225852E-08
2.22044408882E-08,-2.51544173603E-08,-6.05889143271E-08
2.24044808962E-08,-1.07515056677E-07,+2.05506174017E-08
2.26045209042E-08,-7.44168309485E-08,+1.70372701125E-07
2.28045609122E-08,+9.98500809900E-08,+2.39815665522E-07
2.30046009202E-08,+2.79224574099E-07,+1.23594879395E-07
2.32046409282E-08,+2.90969671225E-07,-1.05208045686E-07
2.34046809362E-08,+1.09674251444E-07,-2.51767877975E-07
2.36047209442E-08,-1.09913143700E-07,-1.92383382014E-07
2.38047609522E-08,-1.86149141102E-07,+9.21074161914E-09
2.40048009602E-08,-7.64011148354E-08,+1.77874337846E-07
2.42048409682E-08,+1.10853020190E-07,+1.92654709555E-07
2.44048809762E-08,+2.35454107384E-07,+6.63302817174E-08
2.46049209842E-08,+2.29655325180E-07,-1.05114081394E-07
2.48049609922E-08,+1.07404806214E-07,-2.25845006118E-07
2.50050010002E-08,-7.16419148844E-08,-2.34633013122E-07
2.52050410082E-08,-2.20329370801E-07,-1.12317984754E-07
2.54050810162E-08,-2.44012855746E-07,+9.41229734745E-08
2.56051210242E-08,-1.03348599341E-07,+2.63883540507E-07
2.58051610322E-08,+1.23501907647E-07,+2.72165825611E-07
2.60052010402E-08,+2.74574190030E-07,+1.04466067608E-07
2.62052410482E-08,+2.38515984893E-07,-1.09215005850E-07
2.64052810562E-08,+6.02182988927E-08,-2.02687936282E-07
2.66053210642E-08,-1.03138214211E-07,-1.23825690292E-07
2.68053610722E-08,-1.32966508729E-07,+3.20221964073E-08
2.70054010802E-08,-4.39754085467E-08,+1.32860736625E-07
2.72054410882E-08,+6.61022498013E-08,+1.31219267646E-07
2.74054810962E-08,+1.28433579627E-07,+6.95202423018E-08
2.76055211042E-08,+1.41339287595E-07,-1.60389873194E-09
2.78055611122E-08,+1.19262390911E-07,-6.88866253837E-08
2.80056011202E-08,+5.43311651037E-08,-1.21525368756E-07
2.82056411282E-08,-4.82900469469E-08,-1.17604115387E-07
2.84056811362E-08,-1.27519001054E-07,-2.61262901380E-08
2.86057211442E-08,-1.05949817692E-07,+1.06528104581E-07
2.88057611522E-08,+1.72368564305E-08,+1.74091515592E-07
2.90058011602E-08,+1.42792445438E-07,+1.16704402984E-07
2.92058411682E-08,+1.66740441999E-07,-7.57964768891E-09
2.94058811762E-08,+9.06513961157E-08,-8.21837015293E-08
2.96059211842E-08,+1.37014733594E-08,-5.92315172930E-08
