! CMT, C1209, , 23.2.4/2
! Date: 9/11/2023 9:06:22 AM
! Stimulus(Hz),    S21(Real),         S21(Imag)
3.92080208021E+09,+9.53957717581E-05,+7.97412415410E-05
3.92090209021E+09,+9.49941342961E-05,+7.88042604369E-05
3.92100210021E+09,+9.45115123659E-05,+7.86941236371E-05
3.92110211021E+09,+9.52489132691E-05,+7.93031281349E-05
3.92120212021E+09,+9.51317786592E-05,+7.87124169616E-05
3.92130213021E+09,+9.48585064554E-05,+7.89703499774E-05
3.92140214021E+09,+9.62199917396E-05,+7.91235681430E-05
3.92150215022E+09,+9.57329785492E-05,+7.87953159113E-05
3.92160216022E+09,+9.63006899037E-05,+7.83915084556E-05
3.92170217022E+09,+9.69484287867E-05,+7.92966458275E-05
3.92180218022E+09,+9.81581314802E-05,+7.90702657634E-05
3.92190219022E+09,+9.68906137480E-05,+7.82851906094E-05
3.92200220022E+09,+9.72081732218E-05,+7.83733316746E-05
3.92210221022E+09,+9.80007292652E-05,+7.93196531274E-05
3.92220222022E+09,+9.93502553262E-05,+7.77575279620E-05
3.92230223022E+09,+9.91495477269E-05,+7.76592339637E-05
3.92240224022E+09,+1.00116600188E-04,+7.74313678656E-05
3.92250225023E+09,+1.00748410361E-04,+7.75306848743E-05
3.92260226023E+09,+1.00149543447E-04,+7.65039594788E-05
3.92270227023E+09,+1.01047630840E-04,+7.59339659966E-05
3.92280228023E+09,+1.01997437821E-04,+7.53947794306E-05
3.92290229023E+09,+1.02260975830E-04,+7.45667774200E-05
3.92300230023E+09,+1.01757749698E-04,+7.42638482737E-05
3.92310231023E+09,+1.02027896755E-04,+7.40106356242E-05
3.92320232023E+09,+1.02038312772E-04,+7.32071138518E-05
3.92330233023E+09,+1.02047571087E-04,+7.24170858520E-05
3.92340234023E+09,+1.01495680039E-04,+7.16911464723E-05
3.92350235024E+09,+1.01926562076E-04,+7.25667160221E-05
3.92360236024E+09,+1.02232497412E-04,+7.15702163080E-05
3.92370237024E+09,+1.01749278485E-04,+7.15134793974E-05
3.92380238024E+09,+1.01882052534E-04,+7.07833462890E-05
3.92390239024E+09,+1.01810380339E-04,+7.17004370079E-05
3.92400240024E+09,+1.01280787392E-04,+7.12883322636E-05
3.92410241024E+09,+1.01763647332E-04,+7.08611542718E-05
3.92420242024E+09,+1.03029319368E-04,+7.10474192114E-05
3.92430243024E+09,+1.01422482826E-04,+7.06104105606E-05
3.92440244024E+09,+1.01476778648E-04,+7.10627605153E-05
3.92450245025E+09,+1.02169949634E-04,+7.12324399262E-05
3.92460246025E+09,+1.02998263950E-04,+7.05085003877E-05
3.92470247025E+09,+1.02192555851E-04,+7.08493170097E-05
3.92480248025E+09,+1.03003099060E-04,+7.03527016143E-05
3.92490249025E+09,+1.03976551583E-04,+7.11118424868E-05
3.92500250025E+09,+1.03066205700E-04,+7.09754006971E-05
3.92510251025E+09,+1.03904691021E-04,+7.08174377501E-05
3.92520252025E+09,+1.05388901792E-04,+7.00404402363E-05
3.92530253025E+09,+1.05794991469E-04,+7.02983061560E-05
3.92540254025E+09,+1.05727174034E-04,+6.93671714575E-05
3.92550255026E+09,+1.06568697224E-04,+6.87302592908E-05
3.92560256026E+09,+1.07797532941E-04,+6.80897789596E-05
3.92570257026E+09,+1.07181322369E-04,+6.75100826117E-05
3.92580258026E+09,+1.07093318104E-04,+6.69177600963E-05
3.92590259026E+09,+1.08324380204E-04,+6.60179663982E-05
3.92600260026E+09,+1.08604392765E-04,+6.65949200351E-05
3.92610261026E+09,+1.07716110433E-04,+6.55747745913E-05
3.92620262026E+09,+1.08331982006E-04,+6.38020881418E-05
3.92630263026E+09,+1.08961858054E-04,+6.32733427242E-05
3.92640264026E+09,+1.08312170278E-04,+6.29474274067E-05
3.92650265027E+09,+1.07402960423E-04,+6.19531199517E-05
3.92660266027E+09,+1.07712529690E-04,+6.21126749428E-05
3.92670267027E+09,+1.07272015617E-04,+6.17540036057E-05
3.92680268027E+09,+1.06481354657E-04,+6.10192421299E-05
3.92690269027E+09,+1.06675177056E-04,+6.09076380262E-05
3.92700270027E+09,+1.07122816388E-04,+6.09038414305E-05
3.92710271027E+09,+1.06119121669E-04,+6.03034413455E-05
3.92720272027E+09,+1.05935622629E-04,+6.05819996634E-05
3.92730273027E+09,+1.05305110559E-04,+6.13453443155E-05
3.92740274027E+09,+1.05765114706E-04,+6.05377401756E-05
3.92750275028E+09,+1.05480352391E-04,+6.06285061641E-05
3.92760276028E+09,+1.05594123017E-04,+6.08678395625E-05
3.92770277028E+09,+1.06069781166E-04,+6.14310198888E-05
3.92780278028E+09,+1.06179745759E-04,+6.14633928609E-05
3.92790279028E+09,+1.05421029693E-04,+6.18277859688E-05
3.92800280028E+09,+1.06703295716E-04,+6.15701356503E-05
3.92810281028E+09,+1.07600304808E-04,+6.18637934773E-05
3.92820282028E+09,+1.07495515101E-04,+6.18640932994E-05
3.92830283028E+09,+1.08105586802E-04,+6.13687149946E-05
3.92840284028E+09,+1.09755347768E-04,+6.25145368541E-05
3.92850285029E+09,+1.08724927597E-04,+6.14728891837E-05
3.92860286029E+09,+1.09496614174E-04,+6.08940112614E-05
3.92870287029E+09,+1.10497974173E-04,+6.05840582035E-05
3.92880288029E+09,+1.11738540039E-04,+5.97210208092E-05
3.92890289029E+09,+1.10682377413E-04,+5.94112790872E-05
3.92900290029E+09,+1.11855223423E-04,+5.86438191014E-05
3.92910291029E+09,+1.12454392691E-04,+5.75959647986E-05
3.92920292029E+09,+1.11625741660E-04,+5.69349101089E-05
3.92930293029E+09,+1.11894643014E-04,+5.63129159193E-05
3.92940294029E+09,+1.13172763761E-04,+5.53381079839E-05
3.92950295030E+09,+1.12332012937E-04,+5.43939481756E-05
3.92960296030E+09,+1.12224835463E-04,+5.39326037897E-05
3.92970297030E+09,+1.11959857264E-04,+5.32744876239E-05
3.92980298030E+09,+1.11723935240E-04,+5.30387520882E-05
3.92990299030E+09,+1.10628169000E-04,+5.17035130720E-05
3.93000300030E+09,+1.10066310218E-04,+5.18794026510E-05
3.93010301030E+09,+1.10619484826E-04,+5.12854159170E-05
3.93020302030E+09,+1.09790045225E-04,+5.10513676007E-05
3.93030303030E+09,+1.08360429706E-04,+5.15491020210E-05
3.93040304030E+09,+1.08469214273E-04,+5.12092522401E-05
3.93050305031E+09,+1.09119546659E-04,+5.09189285678E-05
3.93060306031E+09,+1.08183188872E-04,+5.12524317713E-05
3.93070307031E+09,+1.07625295467E-04,+5.24782675183E-05
3.93080308031E+09,+1.07782810366E-04,+5.19440994257E-05
3.93090309031E+09,+1.07607664607E-04,+5.26975952475E-05
3.93100310031E+09,+1.08268740934E-04,+5.34437519677E-05
3.93110311031E+09,+1.08387062370E-04,+5.28703022495E-05
3.93120312031E+09,+1.09270854614E-04,+5.32800721421E-05
3.93130313031E+09,+1.08760925923E-04,+5.42592430505E-05
3.93140314031E+09,+1.09749063704E-04,+5.36204180604E-05
3.93150315032E+09,+1.11163479457E-04,+5.33899050252E-05
3.93160316032E+09,+1.11582733739E-04,+5.46590874897E-05
3.93170317032E+09,+1.11617707904E-04,+5.38290896290E-05
3.93180318032E+09,+1.12312425873E-04,+5.28226450847E-05
3.93190319032E+09,+1.14273084715E-04,+5.31981729408E-05
3.93200320032E+09,+1.14358366820E-04,+5.21810027010E-05
3.93210321032E+09,+1.13950639356E-04,+5.21388121465E-05
3.93220322032E+09,+1.15206672296E-04,+5.08994468649E-05
3.93230323032E+09,+1.15934067538E-04,+5.01342396537E-05
3.93240324032E+09,+1.15556147722E-04,+4.87799985934E-05
3.93250325033E+09,+1.16587657532E-04,+4.81214313698E-05
3.93260326033E+09,+1.16108800080E-04,+4.69899131185E-05
3.93270327033E+09,+1.15701072153E-04,+4.57623724311E-05
3.93280328033E+09,+1.15885320157E-04,+4.50107020880E-05
3.93290329033E+09,+1.15523028577E-04,+4.47239458156E-05
3.93300330033E+09,+1.15251643624E-04,+4.35454990445E-05
3.93310331033E+09,+1.13800606750E-04,+4.33741615134E-05
3.93320332033E+09,+1.13625463024E-04,+4.33406405008E-05
3.93330333033E+09,+1.13146192666E-04,+4.32792634426E-05
3.93340334033E+09,+1.11808128247E-04,+4.34446379261E-05
3.93350335034E+09,+1.11548926254E-04,+4.19718298507E-05
3.93360336034E+09,+1.12325309369E-04,+4.25339893807E-05
3.93370337034E+09,+1.10996679684E-04,+4.23861386965E-05
3.93380338034E+09,+1.10099419170E-04,+4.25890915886E-05
3.93390339034E+09,+1.10434025984E-04,+4.42598899174E-05
3.93400340034E+09,+1.10325184575E-04,+4.43422511206E-05
3.93410341034E+09,+1.08672955255E-04,+4.45794946043E-05
3.93420342034E+09,+1.09582256050E-04,+4.46235189016E-05
3.93430343034E+09,+1.10728114225E-04,+4.53340325403E-05
3.93440344034E+09,+1.10650502801E-04,+4.58419652795E-05
3.93450345035E+09,+1.11095707374E-04,+4.60273605373E-05
3.93460346035E+09,+1.12217691032E-04,+4.63764138165E-05
3.93470347035E+09,+1.13310926927E-04,+4.64955261905E-05
3.93480348035E+09,+1.13388563080E-04,+4.69124801422E-05
3.93490349035E+09,+1.14595799218E-04,+4.62211237890E-05
3.93500350035E+09,+1.15739709677E-04,+4.62358174403E-05
3.93510351035E+09,+1.15557543179E-04,+4.54651543109E-05
3.93520352035E+09,+1.17147821634E-04,+4.53292304968E-05
3.93530353035E+09,+1.17182707684E-04,+4.43352712452E-05
3.93540354035E+09,+1.18654133258E-04,+4.34430643321E-05
3.93550355036E+09,+1.17348221532E-04,+4.29848216156E-05
3.93560356036E+09,+1.18942737084E-04,+4.16421188132E-05
3.93570357036E+09,+1.20194093028E-04,+4.08514436670E-05
3.93580358036E+09,+1.18892126299E-04,+3.94515491520E-05
3.93590359036E+09,+1.19314490001E-04,+3.88764298586E-05
3.93600360036E+09,+1.19098160959E-04,+3.75520107592E-05
3.93610361036E+09,+1.18879014537E-04,+3.68746308000E-05
3.93620362036E+09,+1.17789547349E-04,+3.64408190905E-05
3.93630363036E+09,+1.18206487192E-04,+3.53809359441E-05
3.93640364036E+09,+1.16868887596E-04,+3.45264529195E-05
3.93650365037E+09,+1.16366050064E-04,+3.50022626832E-05
3.93660366037E+09,+1.15943524883E-04,+3.48863519809E-05
3.93670367037E+09,+1.15838688690E-04,+3.47075427120E-05
3.93680368037E+09,+1.14771590164E-04,+3.44402463654E-05
3.93690369037E+09,+1.13471947100E-04,+3.37455670536E-05
3.93700370037E+09,+1.13594638123E-04,+3.51180944485E-05
3.93710371037E+09,+1.13102326260E-04,+3.50533270100E-05
3.93720372037E+09,+1.13034499320E-04,+3.54904896456E-05
3.93730373037E+09,+1.13065401238E-04,+3.65407144072E-05
3.93740374037E+09,+1.13906008275E-04,+3.58799637671E-05
3.93750375038E+09,+1.13717544131E-04,+3.68694908978E-05
3.93760376038E+09,+1.12974228725E-04,+3.72101246074E-05
3.93770377038E+09,+1.14111318005E-04,+3.73927293694E-05
3.93780378038E+09,+1.15193707309E-04,+3.80556235101E-05
3.93790379038E+09,+1.15112655326E-04,+3.82334372650E-05
3.93800380038E+09,+1.16058247166E-04,+3.81042596455E-05
3.93810381038E+09,+1.16456996947E-04,+3.78161974260E-05
3.93820382038E+09,+1.17820201990E-04,+3.78457676290E-05
3.93830383038E+09,+1.17781579881E-04,+3.80377463534E-05
3.93840384038E+09,+1.18469073221E-04,+3.74217965248E-05
3.93850385039E+09,+1.19788018996E-04,+3.64342600674E-05
3.93860386039E+09,+1.20223736710E-04,+3.54625539712E-05
3.93870387039E+09,+1.19856224004E-04,+3.46779152906E-05
3.93880388039E+09,+1.20853833472E-04,+3.48945943548E-05
3.93890389039E+09,+1.20721158264E-04,+3.29310432562E-05
3.93900390039E+09,+1.20910054750E-04,+3.26028580586E-05
3.93910391039E+09,+1.21971108317E-04,+3.11100552265E-05
3.93920392039E+09,+1.21297333376E-04,+3.04360403502E-05
3.93930393039E+09,+1.20540442708E-04,+2.91561529090E-05
3.93940394039E+09,+1.20512565449E-04,+2.88623512378E-05
3.93950395040E+09,+1.20542515825E-04,+2.81630056803E-05
3.93960396040E+09,+1.19560717307E-04,+2.72753491961E-05
3.93970397040E+09,+1.18510022528E-04,+2.67171981531E-05
3.93980398040E+09,+1.17830547018E-04,+2.58128201237E-05
3.93990399040E+09,+1.17548818866E-04,+2.60982981490E-05
3.94000400040E+09,+1.16557952516E-04,+2.61525132914E-05
3.94010401040E+09,+1.16059273239E-04,+2.68771253310E-05
3.94020402040E+09,+1.16057255382E-04,+2.67065372351E-05
3.94030403040E+09,+1.15641405821E-04,+2.73447393006E-05
3.94040404040E+09,+1.14522738317E-04,+2.78030294941E-05
3.94050405041E+09,+1.14561760723E-04,+2.82121442768E-05
3.94060406041E+09,+1.14781229457E-04,+2.86102221304E-05
3.94070407041E+09,+1.14591102864E-04,+2.89096440714E-05
3.94080408041E+09,+1.14341927873E-04,+2.94048539672E-05
3.94090409041E+09,+1.15944595719E-04,+2.99191872952E-05
3.94100410041E+09,+1.15745847553E-04,+2.99165975362E-05
3.94110411041E+09,+1.16319632867E-04,+3.00148724152E-05
3.94120412041E+09,+1.16918785249E-04,+3.02659326389E-05
3.94130413041E+09,+1.17720747803E-04,+3.07086798534E-05
3.94140414041E+09,+1.17766630943E-04,+3.05466005699E-05
3.94150415042E+09,+1.18195735215E-04,+2.95208510892E-05
3.94160416042E+09,+1.19372747985E-04,+2.93434116892E-05
3.94170417042E+09,+1.19690720478E-04,+2.98804692860E-05
3.94180418042E+09,+1.20684342913E-04,+2.86008944544E-05
3.94190419042E+09,+1.20820295404E-04,+2.77670280463E-05
3.94200420042E+09,+1.22395977330E-04,+2.68746001617E-05
3.94210421042E+09,+1.21880715677E-04,+2.61734487579E-05
3.94220422042E+09,+1.22004488591E-04,+2.48143074623E-05
3.94230423042E+09,+1.23181761514E-04,+2.36834902786E-05
3.94240424042E+09,+1.22048151572E-04,+2.33936598935E-05
3.94250425043E+09,+1.19750756056E-04,+2.27071953227E-05
3.94260426043E+09,+1.21358352303E-04,+2.21382418117E-05
3.94270427043E+09,+1.21871270305E-04,+2.03404566456E-05
3.94280428043E+09,+1.20874386228E-04,+2.05769374161E-05
3.94290429043E+09,+1.20260917707E-04,+2.06480351824E-05
