Stimulus(Hz),S21(dB)
3.91910191019E+09,-7.81546981858E+01
3.91920192019E+09,-7.81772758110E+01
3.91930193019E+09,-7.80978816213E+01
3.91940194019E+09,-7.81267575094E+01
3.91950195020E+09,-7.81355365902E+01
3.91960196020E+09,-7.81547955975E+01
3.91970197020E+09,-7.80798624869E+01
3.91980198020E+09,-7.81113535836E+01
3.91990199020E+09,-7.81025251256E+01
3.92000200020E+09,-7.81275424029E+01
3.92010201020E+09,-7.81602671885E+01
3.92020202020E+09,-7.81836550121E+01
3.92030203020E+09,-7.81663193324E+01
3.92040204020E+09,-7.81017939789E+01
3.92050205021E+09,-7.81862726569E+01
3.92060206021E+09,-7.82047605650E+01
3.92070207021E+09,-7.81881208580E+01
3.92080208021E+09,-7.81081807265E+01
3.92090209021E+09,-7.81718613388E+01
3.92100210021E+09,-7.82029913054E+01
3.92110211021E+09,-7.81357085274E+01
3.92120212021E+09,-7.81685263339E+01
3.92130213021E+09,-7.81717315117E+01
3.92140214021E+09,-7.80914114054E+01
3.92150215022E+09,-7.81322710681E+01
3.92160216022E+09,-7.81194234174E+01
3.92170217022E+09,-7.80446132481E+01
3.92180218022E+09,-7.79895466818E+01
3.92190219022E+09,-7.80921009394E+01
3.92200220022E+09,-7.80710352019E+01
3.92210221022E+09,-7.79871896776E+01
3.92220222022E+09,-7.79814679498E+01
3.92230223022E+09,-7.79965329571E+01
3.92240224022E+09,-7.79536594435E+01
3.92250225023E+09,-7.79152507069E+01
3.92260226023E+09,-7.79907329187E+01
3.92270227023E+09,-7.79651588557E+01
3.92280228023E+09,-7.79350198931E+01
3.92290229023E+09,-7.79540495627E+01
3.92300230023E+09,-7.79942967435E+01
3.92310231023E+09,-7.79895083570E+01
3.92320232023E+09,-7.80213804778E+01
3.92330233023E+09,-7.80526534527E+01
3.92340234023E+09,-7.81132475847E+01
3.92350235024E+09,-7.80534825047E+01
3.92360236024E+09,-7.80760598160E+01
3.92370237024E+09,-7.81059129170E+01
3.92380238024E+09,-7.81275475602E+01
3.92390239024E+09,-7.80949164402E+01
3.92400240024E+09,-7.81417961720E+01
3.92410241024E+09,-7.81312434398E+01
3.92420242024E+09,-7.80513125124E+01
3.92430243024E+09,-7.81609412877E+01
3.92440244024E+09,-7.81396370103E+01
3.92450245025E+09,-7.80931095151E+01
3.92460246025E+09,-7.80743000993E+01
3.92470247025E+09,-7.81070781154E+01
3.92480248025E+09,-7.80801438239E+01
3.92490249025E+09,-7.79947733140E+01
3.92500250025E+09,-7.80520407514E+01
3.92510251025E+09,-7.80103257745E+01
3.92520252025E+09,-7.79554129420E+01
3.92530253025E+09,-7.79224631715E+01
3.92540254025E+09,-7.79615045513E+01
3.92550255026E+09,-7.79369408409E+01
3.92560256026E+09,-7.78897225418E+01
3.92570257026E+09,-7.79464817644E+01
3.92580258026E+09,-7.79732194809E+01
3.92590259026E+09,-7.79337531543E+01
3.92600260026E+09,-7.78968689879E+01
3.92610261026E+09,-7.79852608857E+01
3.92620262026E+09,-7.80116360358E+01
3.92630263026E+09,-7.79925337279E+01
3.92640264026E+09,-7.80426898486E+01
3.92650265027E+09,-7.81322484719E+01
3.92660266027E+09,-7.81079125651E+01
3.92670267027E+09,-7.81471735778E+01
3.92680268027E+09,-7.82212811764E+01
3.92690269027E+09,-7.82132993494E+01
3.92700270027E+09,-7.81859733922E+01
3.92710271027E+09,-7.82687864679E+01
3.92720272027E+09,-7.82703137566E+01
