Stimulus(s),S21(Real)
2.61192119212E-07,-6.36660330223E-09
2.61200120012E-07,-7.69213274349E-09
2.61208120812E-07,-8.57819477351E-09
2.61216121612E-07,-8.97757460602E-09
2.61224122412E-07,-8.87022047011E-09
2.61232123212E-07,-8.26441850585E-09
2.61240124012E-07,-7.19639100631E-09
2.61248124812E-07,-5.72833006108E-09
2.61256125613E-07,-3.94496634787E-09
2.61264126413E-07,-1.94885574596E-09
2.61272127213E-07,+1.45360103559E-10
2.61280128013E-07,+2.21740341623E-09
2.61288128813E-07,+4.14816165090E-09
2.61296129613E-07,+5.82645949384E-09
2.61304130413E-07,+7.15541877721E-09
2.61312131213E-07,+8.05804373739E-09
2.61320132013E-07,+8.48170973603E-09
2.61328132813E-07,+8.40129283968E-09
2.61336133613E-07,+7.82075232091E-09
2.61344134413E-07,+6.77306413834E-09
2.61352135214E-07,+5.31849602585E-09
2.61360136014E-07,+3.54130880315E-09
2.61368136814E-07,+1.54505860571E-09
2.61376137614E-07,-5.53244215561E-10
2.61384138414E-07,-2.62979643470E-09
2.61392139214E-07,-4.56111076650E-09
2.61400140014E-07,-6.23117037371E-09
2.61408140814E-07,-7.53822077199E-09
2.61416141614E-07,-8.40080743434E-09
2.61424142414E-07,-8.76270639335E-09
2.61432143214E-07,-8.59645455498E-09
2.61440144014E-07,-7.90526311517E-09
2.61448144814E-07,-6.72318724208E-09
2.61456145615E-07,-5.11352310218E-09
2.61464146415E-07,-3.16550390378E-09
2.61472147215E-07,-9.89464236731E-10
2.61480148015E-07,+1.28926895570E-09
2.61488148815E-07,+3.53742506368E-09
2.61496149615E-07,+5.62138716378E-09
2.61504150415E-07,+7.41491129197E-09
2.61512151215E-07,+8.80652891280E-09
2.61520152015E-07,+9.70620659620E-09
2.61528152815E-07,+1.00508739025E-08
2.61536153615E-07,+9.80848989698E-09
2.61544154415E-07,+8.98039745052E-09
2.61552155216E-07,+7.60180830258E-09
2.61560156016E-07,+5.74036564103E-09
2.61568156816E-07,+3.49283894737E-09
2.61576157616E-07,+9.80112034217E-10
2.61584158416E-07,-1.65927643358E-09
2.61592159216E-07,-4.27669570558E-09
2.61600160016E-07,-6.72167818299E-09
2.61608160816E-07,-8.85041200606E-09
2.61616161616E-07,-1.05339965816E-08
2.61624162416E-07,-1.16659937188E-08
2.61632163216E-07,-1.21688403753E-08
2.61640164016E-07,-1.19987470275E-08
2.61648164816E-07,-1.11487853890E-08
2.61656165617E-07,-9.64996639659E-09
2.61664166417E-07,-7.57021882585E-09
2.61672167217E-07,-5.01129462023E-09
2.61680168017E-07,-2.10374264937E-09
2.61688168817E-07,+9.99798285919E-10
2.61696169617E-07,+4.13263993338E-09
2.61704170417E-07,+7.12299296915E-09
2.61712171217E-07,+9.80334204062E-09
2.61720172017E-07,+1.20197365550E-08
2.61728172817E-07,+1.36404844917E-08
2.61736173617E-07,+1.45637629644E-08
2.61744174417E-07,+1.47237127783E-08
2.61752175218E-07,+1.40946621300E-08
2.61760176018E-07,+1.26932228333E-08
2.61768176818E-07,+1.05781158065E-08
2.61776177618E-07,+7.84770495340E-09
2.61784178418E-07,+4.63534336843E-09
2.61792179218E-07,+1.10275619399E-09
2.61800180018E-07,-2.56820618118E-09
2.61808180818E-07,-6.18501863358E-09
2.61816181618E-07,-9.55463960350E-09
2.61824182418E-07,-1.24938375673E-08
2.61832183218E-07,-1.48391312561E-08
2.61840184018E-07,-1.64558042911E-08
2.61848184818E-07,-1.72454993276E-08
2.61856185619E-07,-1.71519683530E-08
2.61864186419E-07,-1.61646508016E-08
2.61872187219E-07,-1.43198646428E-08
2.61880188019E-07,-1.16995215766E-08
2.61888188819E-07,-8.42740920876E-09
2.61896189619E-07,-4.66321350928E-09
2.61904190419E-07,-5.94576963460E-10
2.61912191219E-07,+3.57240502970E-09
2.61920192019E-07,+7.62376059519E-09
2.61928192819E-07,+1.13487409230E-08
2.61936193619E-07,+1.45508612945E-08
2.61944194419E-07,+1.70583008767E-08
2.61952195220E-07,+1.87331084631E-08
2.61960196020E-07,+1.94787207652E-08
2.61968196820E-07,+1.92453857877E-08
2.61976197620E-07,+1.80331917635E-08
2.61984198420E-07,+1.58925264383E-08
2.61992199220E-07,+1.29219256239E-08
2.62000200020E-07,+9.26340679482E-09
2.62008200820E-07,+5.09551585018E-09
2.62016201620E-07,+6.24435968985E-10
2.62024202420E-07,-3.92638964699E-09
2.62032203220E-07,-8.32758990543E-09
