Stimulus(s),S21(Real),S21(Imag)
2.76027602760E-08,+8.29230662954E-08,+2.73974946999E-07
2.77027702770E-08,-1.69661566503E-07,-1.99138727656E-07
2.78027802780E-08,+2.14155416230E-07,+1.03708066193E-07
2.79027902790E-08,-2.15831858386E-07,-8.86170888601E-09
2.80028002800E-08,+1.83896000324E-07,-6.84148303696E-08
2.81028102810E-08,-1.33025373960E-07,+1.19319068883E-07
2.82028202820E-08,+7.78693618282E-08,-1.43964860543E-07
2.83028302830E-08,-2.84972259964E-08,+1.48907569143E-07
2.84028402840E-08,-1.15684434953E-08,-1.42774918172E-07
2.85028502850E-08,+4.42605193848E-08,+1.31995252821E-07
2.86028602860E-08,-7.36618718491E-08,-1.18429261820E-07
2.87028702870E-08,+1.02229690023E-07,+9.97605698179E-08
2.88028802880E-08,-1.28398762182E-07,-7.22139306988E-08
2.89028902890E-08,+1.46693851211E-07,+3.41168763171E-08
2.90029002900E-08,-1.50270655436E-07,+1.15380212065E-08
2.91029102910E-08,+1.34647734739E-07,-5.68877581715E-08
2.92029202920E-08,-1.00804818932E-07,+9.16024796829E-08
2.93029302930E-08,+5.60672661885E-08,-1.06921419904E-07
2.94029402940E-08,-1.21647305790E-08,+9.95417853483E-08
2.95029502950E-08,-1.88822427659E-08,-7.35646378263E-08
2.96029602960E-08,+2.93881667806E-08,+3.94863596923E-08
2.97029702970E-08,-1.91796815396E-08,-1.04745261980E-08
2.98029802980E-08,-4.09684285319E-09,-2.65474257722E-09
2.99029902990E-08,+2.77982683012E-08,-4.25888505393E-09
3.00030003000E-08,-3.92086796418E-08,+2.69136731867E-08
3.01030103010E-08,+3.06532730789E-08,-5.40401056537E-08
3.02030203020E-08,-2.78231056997E-09,+7.16862970133E-08
3.03030303030E-08,-3.52918949110E-08,-6.86764225200E-08
3.04030403040E-08,+6.91021928645E-08,+4.11624413237E-08
3.05030503050E-08,-8.40342788552E-08,+5.45558517918E-09
3.06030603060E-08,+7.07160445959E-08,-5.79569648372E-08
3.07030703070E-08,-2.86420119176E-08,+9.95453510821E-08
3.08030803080E-08,-3.32201919207E-08,-1.15382114491E-07
3.09030903090E-08,+9.89827768688E-08,+9.74873653652E-08
3.10031003100E-08,-1.50601975583E-07,-4.74035768458E-08
3.11031103110E-08,+1.73230011090E-07,-2.41358650891E-08
3.12031203120E-08,-1.59467486884E-07,+1.00267019963E-07
3.13031303130E-08,+1.11324728008E-07,-1.62694794837E-07
3.14031403140E-08,-3.95093946011E-08,+1.96568406974E-07
3.15031503150E-08,-3.95379094569E-08,-1.94195511532E-07
3.16031603160E-08,+1.07892090270E-07,+1.56745812596E-07
3.17031703170E-08,-1.50526488191E-07,-9.37163516087E-08
3.18031803180E-08,+1.58817739544E-07,+2.04741699254E-08
3.19031903190E-08,-1.32480383827E-07,+4.54567252729E-08
3.20032003200E-08,+7.96055525062E-08,-8.85424361352E-08
3.21032103210E-08,-1.48158542726E-08,+9.89802490098E-08
3.22032203220E-08,-4.41459497798E-08,-7.52562766431E-08
3.23032303230E-08,+8.07784422451E-08,+2.48829094379E-08
3.24032403240E-08,-8.42332596637E-08,+3.70558515058E-08
3.25032503250E-08,+5.26848955477E-08,-9.14910694901E-08
3.26032603260E-08,+5.40424039284E-09,+1.20456110760E-07
3.27032703270E-08,-7.28230193660E-08,-1.12469454391E-07
3.28032803280E-08,+1.27949090562E-07,+6.66541205139E-08
3.29032903290E-08,-1.50982178987E-07,+5.88078079007E-09
3.30033003300E-08,+1.30375151810E-07,-8.42473355103E-08
