Stimulus(Hz),S11(dB)
1.49499834998E+07,-5.21528365133E-02
1.50399833998E+07,-5.25563756043E-02
1.51299832998E+07,-5.11965810508E-02
1.52199831998E+07,-4.90188489713E-02
1.53099830998E+07,-5.10245406937E-02
1.53999829998E+07,-5.20174878942E-02
1.54899828998E+07,-4.95046761164E-02
1.55799827998E+07,-4.95909320920E-02
1.56699826998E+07,-5.23308307139E-02
1.57599825998E+07,-5.13569967633E-02
1.58499824998E+07,-4.94598864346E-02
1.59399823998E+07,-5.38085153611E-02
1.60299822998E+07,-5.45760104141E-02
1.61199821998E+07,-5.21955270161E-02
1.62099820998E+07,-5.24648651944E-02
1.62999819998E+07,-5.54265975892E-02
1.63899818998E+07,-5.40181912940E-02
1.64799817998E+07,-5.24341967960E-02
1.65699816998E+07,-5.48378249204E-02
1.66599815998E+07,-5.59949487564E-02
1.67499814998E+07,-5.34374863263E-02
1.68399813998E+07,-5.39388229516E-02
1.69299812998E+07,-5.69164996124E-02
1.70199811998E+07,-5.56468899972E-02
1.71099810998E+07,-5.37881159796E-02
1.71999809998E+07,-5.65309493334E-02
1.72899808998E+07,-5.76259064893E-02
1.73799807998E+07,-5.47506947741E-02
1.74699806998E+07,-5.56519034639E-02
1.75599805998E+07,-5.85937402572E-02
1.76499804998E+07,-5.69524875926E-02
1.77399803998E+07,-5.50984060182E-02
1.78299802998E+07,-5.82718928816E-02
1.79199801998E+07,-5.91875172044E-02
1.80099800998E+07,-5.63754646863E-02
1.80999799998E+07,-5.72932986670E-02
1.81899798998E+07,-6.03947025746E-02
1.82799797998E+07,-5.85857581461E-02
1.83699796998E+07,-5.69241551082E-02
1.84599795998E+07,-6.01608602291E-02
1.85499794998E+07,-6.10100680388E-02
1.86399793998E+07,-5.79299951266E-02
1.87299792998E+07,-5.89711233654E-02
1.88199791998E+07,-6.20706936893E-02
1.89099790998E+07,-6.01495375728E-02
1.89999789998E+07,-5.84945951262E-02
1.90899788998E+07,-6.20055733914E-02
1.91799787998E+07,-6.27356080763E-02
1.92699786998E+07,-5.95260391724E-02
1.93599785998E+07,-6.07717276939E-02
1.94499784998E+07,-6.38692508123E-02
1.95399783998E+07,-6.15729847377E-02
1.96299782998E+07,-5.99141081298E-02
1.97199781998E+07,-6.36927105330E-02
1.98099780998E+07,-6.41051995351E-02
1.98999779998E+07,-6.05568584705E-02
1.99899778998E+07,-6.24231091181E-02
2.00799777998E+07,-6.56804514252E-02
2.01699776998E+07,-6.31082002531E-02
2.02599775998E+07,-6.13915385446E-02
2.03499774998E+07,-6.53189025308E-02
2.04399773998E+07,-6.58008548130E-02
2.05299772998E+07,-6.21073711212E-02
