Stimulus(s),S21(dB)
1.16011601160E-08,-1.21490262988E+02
1.17011701170E-08,-1.22838295915E+02
1.18011801180E-08,-1.24574724727E+02
1.19011901190E-08,-1.26727822032E+02
1.20012001200E-08,-1.29312486466E+02
1.21012101210E-08,-1.32267179542E+02
1.22012201220E-08,-1.35296590018E+02
1.23012301230E-08,-1.37769917949E+02
1.24012401240E-08,-1.39351908385E+02
1.25012501250E-08,-1.40642167793E+02
1.26012601260E-08,-1.42278686913E+02
1.27012701270E-08,-1.43728957085E+02
1.28012801280E-08,-1.42807417454E+02
1.29012901290E-08,-1.39992245365E+02
1.30013001300E-08,-1.37356609636E+02
1.31013101310E-08,-1.35384854134E+02
1.32013201320E-08,-1.34000085010E+02
1.33013301330E-08,-1.33061853511E+02
1.34013401340E-08,-1.32438963606E+02
1.35013501350E-08,-1.32015213681E+02
1.36013601360E-08,-1.31696894076E+02
1.37013701370E-08,-1.31428154198E+02
1.38013801380E-08,-1.31201588356E+02
1.39013901390E-08,-1.31050851727E+02
1.40014001400E-08,-1.31027651174E+02
1.41014101410E-08,-1.31175749417E+02
1.42014201420E-08,-1.31507323229E+02
1.43014301430E-08,-1.31975371169E+02
1.44014401440E-08,-1.32439356684E+02
1.45014501450E-08,-1.32663073505E+02
1.46014601460E-08,-1.32437667266E+02
1.47014701470E-08,-1.31779720951E+02
1.48014801480E-08,-1.30920397229E+02
1.49014901490E-08,-1.30106516565E+02
1.50015001500E-08,-1.29493778331E+02
1.51015101510E-08,-1.29158147910E+02
1.52015201520E-08,-1.29131118822E+02
1.53015301530E-08,-1.29420138438E+02
1.54015401540E-08,-1.30010017341E+02
1.55015501550E-08,-1.30842260125E+02
1.56015601560E-08,-1.31765321300E+02
1.57015701570E-08,-1.32481593976E+02
1.58015801580E-08,-1.32638108397E+02
1.59015901590E-08,-1.32147688336E+02
1.60016001600E-08,-1.31287220738E+02
1.61016101610E-08,-1.30387974888E+02
1.62016201620E-08,-1.29639861454E+02
1.63016301630E-08,-1.29113253629E+02
1.64016401640E-08,-1.28818779924E+02
1.65016501650E-08,-1.28742255959E+02
1.66016601660E-08,-1.28860075164E+02
1.67016701670E-08,-1.29145794603E+02
1.68016801680E-08,-1.29573671128E+02
1.69016901690E-08,-1.30121431695E+02
1.70017001700E-08,-1.30772596436E+02
1.71017101710E-08,-1.31517527000E+02
1.72017201720E-08,-1.32351983322E+02
1.73017301730E-08,-1.33272359956E+02
1.74017401740E-08,-1.34267590072E+02
